tipo,latitude,longitude,bright,date,admin2,admin3,country_code,country_es
24h,41.05301,15.77162,337.29, 3 de agosto,Lavello,Basilicata,IT,Italia
24h,41.07268,15.72097,338.66, 3 de agosto,Melfi,Basilicata,IT,Italia
24h,41.12539,15.80196,347.5, 3 de agosto,Ascoli Satriano,Puglia,IT,Italia
24h,41.12867,15.80111,351.79, 3 de agosto,Ascoli Satriano,Puglia,IT,Italia
24h,41.13195,15.80026,342.43, 3 de agosto,Ascoli Satriano,Puglia,IT,Italia
24h,41.10056,15.58649,337.48, 3 de agosto,Candela,Puglia,IT,Italia
24h,41.09989,15.58195,337.95, 3 de agosto,Candela,Puglia,IT,Italia
24h,41.10645,15.58025,338.24, 3 de agosto,Candela,Puglia,IT,Italia
24h,41.17672,15.71035,334.63, 3 de agosto,Ascoli Satriano,Puglia,IT,Italia
24h,41.24293,15.65084,344.55, 3 de agosto,Ascoli Satriano,Puglia,IT,Italia
24h,41.30321,15.59829,353.16, 3 de agosto,Ascoli Satriano,Puglia,IT,Italia
24h,41.30649,15.59745,339.93, 3 de agosto,Ascoli Satriano,Puglia,IT,Italia
24h,41.30582,15.59289,337.77, 3 de agosto,Ascoli Satriano,Puglia,IT,Italia
24h,41.43607,15.87971,338.56, 3 de agosto,Cerignola,Puglia,IT,Italia
24h,41.43144,15.84753,336.06, 3 de agosto,Manfredonia,Puglia,IT,Italia
24h,41.45242,15.78025,341.74, 3 de agosto,Manfredonia,Puglia,IT,Italia
24h,41.45766,15.76939,339.38, 3 de agosto,Manfredonia,Puglia,IT,Italia
24h,41.44765,15.70056,343.63, 3 de agosto,Manfredonia,Puglia,IT,Italia
24h,41.4516,15.7043,336.81, 3 de agosto,Foggia,Puglia,IT,Italia
24h,41.45093,15.69972,350.64, 3 de agosto,Foggia,Puglia,IT,Italia
24h,41.45817,15.70261,336.1, 3 de agosto,Foggia,Puglia,IT,Italia
24h,41.45751,15.69803,342.54, 3 de agosto,Foggia,Puglia,IT,Italia
24h,41.50343,15.45498,339.15, 3 de agosto,Lucera,Puglia,IT,Italia
24h,41.50671,15.45412,340.62, 3 de agosto,Lucera,Puglia,IT,Italia
24h,41.5248,15.55386,336.18, 3 de agosto,Foggia,Puglia,IT,Italia
24h,41.53632,15.47013,341.96, 3 de agosto,Foggia,Puglia,IT,Italia
24h,41.53497,15.46098,343.07, 3 de agosto,Lucera,Puglia,IT,Italia
24h,41.53442,15.34249,337.73, 3 de agosto,Lucera,Puglia,IT,Italia
24h,41.53373,15.33793,337.75, 3 de agosto,Lucera,Puglia,IT,Italia
24h,41.54504,15.36816,349.33, 3 de agosto,Lucera,Puglia,IT,Italia
24h,41.65125,15.55635,345.74, 3 de agosto,Rignano Garganico,Puglia,IT,Italia
24h,42.35654,21.37961,340.21, 3 de agosto,Komuna e Kllokotit / Opština Klokot,NA,XK,Kosovo
24h,41.6552,15.56008,339.03, 3 de agosto,Rignano Garganico,Puglia,IT,Italia
24h,41.67858,15.46507,338.4, 3 de agosto,San Severo,Puglia,IT,Italia
